Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,2022-11-17,0.1287811035,0.048015407,0.0482679463,21,100
Market-Adjusted Model,10028,2022-11-17,0.0725806723,0.0009096823,-0.007932485,21,100
Market-Adjusted Model,10032,2022-11-17,0.1092579927,0.0255794668,0.0287448355,21,100
Market-Adjusted Model,10044,2022-11-17,-0.081942328,-0.164127207,-0.162455485,21,100
Market-Adjusted Model,10065,2022-11-17,0.0776127516,-0.003111913,-0.002900406,21,100
Market-Adjusted Model,10066,2022-11-17,-0.066305532,-0.139921694,-0.146818689,21,100
Market-Adjusted Model,10104,2022-11-17,0.1095579777,0.0252839359,0.0290448206,21,100
Market-Adjusted Model,10107,2022-11-17,0.1619145073,0.077070776,0.0814013501,21,100
Market-Adjusted Model,10113,2022-11-17,0.0659308459,-0.015065399,-0.014582311,21,100
Market-Adjusted Model,10138,2022-11-17,0.2039938616,0.1253969536,0.1234807044,21,100
Market-Adjusted Model,10145,2022-11-17,0.0982271269,0.0147911633,0.0177139697,21,100
Market-Adjusted Model,10158,2022-11-17,0.3007692264,0.1980186635,0.2202560692,21,100
Market-Adjusted Model,10200,2022-11-17,0.084713149,0.0197570078,0.0041999918,21,100
Market-Adjusted Model,10207,2022-11-17,0.1119791832,0.0286212207,0.031466026,21,100
Market-Adjusted Model,10220,2022-11-17,0.0958253278,0.0155321258,0.0153121706,21,100
Market-Adjusted Model,10252,2022-11-17,0.0716711892,-0.009553951,-0.008841968,21,100
Market-Adjusted Model,10253,2022-11-17,-0.047210274,-0.114334548,-0.127723431,21,100
Market-Adjusted Model,10257,2022-11-17,0.0135849265,-0.064961718,-0.066928231,21,100
Market-Adjusted Model,10258,2022-11-17,0.0798148709,0.0186107032,-0.000698286,21,100
Market-Adjusted Model,10294,2022-11-17,0.1831898984,0.0961735723,0.1026767412,21,100
Market-Adjusted Model,10308,2022-11-17,0.019790722,-0.0583349,-0.060722435,21,100
Market-Adjusted Model,10318,2022-11-17,0.0459667596,-0.032096522,-0.034546398,21,100
Market-Adjusted Model,10333,2022-11-17,0.2131335679,0.1566379612,0.1326204107,21,100
Market-Adjusted Model,10355,2022-11-17,0.0502307603,-0.029086137,-0.030282397,21,100
Market-Adjusted Model,10382,2022-11-17,0.0769611706,0.0012620895,-0.003551987,21,100
Market-Adjusted Model,10397,2022-11-17,0.1594770842,0.0732036277,0.078963927,21,100
Market-Adjusted Model,10421,2022-11-17,0.0510441443,-0.025492623,-0.029469013,21,100
Market-Adjusted Model,10443,2022-11-17,0.0184714544,-0.052383227,-0.062041703,21,100
Market-Adjusted Model,10463,2022-11-17,-0.021367501,-0.093877443,-0.101880658,21,100
Market-Adjusted Model,10501,2022-11-17,0.2043295735,0.1166381451,0.1238164163,21,100
Market-Adjusted Model,10514,2022-11-17,-0.103727189,-0.144199969,-0.184240346,21,100
Market-Adjusted Model,10516,2022-11-17,-0.03864234,-0.116240164,-0.119155497,21,100
Market-Adjusted Model,10517,2022-11-17,0.2239359217,0.1309643516,0.1434227645,21,100
Market-Adjusted Model,10530,2022-11-17,-1.21033E-10,-0.080144048,-0.080513157,21,100
Market-Adjusted Model,10547,2022-11-17,0.0514413988,0.0239046953,-0.029071758,21,100
Market-Adjusted Model,10550,2022-11-17,-0.112675507,-0.193977761,-0.193188664,21,100
Market-Adjusted Model,10606,2022-11-17,0.1377842201,0.0527826955,0.0572710629,21,100
Market-Adjusted Model,10629,2022-11-17,-0.010593186,-0.088709022,-0.091106343,21,100
Market-Adjusted Model,10645,2022-11-17,0.0819936063,0.0023460048,0.0014804491,21,100
Market-Adjusted Model,10649,2022-11-17,0.0488888758,-0.02448399,-0.031624281,21,100
Market-Adjusted Model,10661,2022-11-17,-0.329842943,-0.440111471,-0.4103561,21,100
Market-Adjusted Model,10693,2022-11-17,0.0740877885,-0.006468903,-0.006425369,21,100
Market-Adjusted Model,10696,2022-11-17,0.0487271462,-0.02812474,-0.031786011,21,100
Market-Adjusted Model,10777,2022-11-17,0.0180326078,-0.059565933,-0.062480549,21,100
Market-Adjusted Model,10779,2022-11-17,0.1046511556,0.0427949323,0.0241379984,21,100
Market-Adjusted Model,10781,2022-11-17,0.0265305221,-0.053235002,-0.053982635,21,100
Market-Adjusted Model,10812,2022-11-17,0.1344195292,0.0526337249,0.053906372,21,100
Market-Adjusted Model,10860,2022-11-17,0.1601831384,0.0819523038,0.0796699812,21,100
Market-Adjusted Model,10866,2022-11-17,-0.157795406,-0.236476296,-0.238308563,21,100
Market-Adjusted Model,10874,2022-11-17,0.1033584684,0.0281292277,0.0228453113,21,100
Market-Adjusted Model,10886,2022-11-17,-0.114678124,-0.176611432,-0.195191281,21,100
Market-Adjusted Model,10890,2022-11-17,-0.481982013,-0.535667653,-0.562495171,21,100
Market-Adjusted Model,10892,2022-11-17,0.0683960731,-0.011296706,-0.012117084,21,100
Market-Adjusted Model,10901,2022-11-17,0.0803956646,0.0050488214,-0.000117493,21,100
Market-Adjusted Model,10932,2022-11-17,0.0300259288,-0.048010465,-0.050487228,21,100
Market-Adjusted Model,10933,2022-11-17,0.1130834681,0.0296465606,0.0325703109,21,100
Market-Adjusted Model,10966,2022-11-17,0.0413146057,-0.019644574,-0.039198551,21,100
Market-Adjusted Model,11006,2022-11-17,0.1357018016,0.0497540763,0.0551886444,21,100
Market-Adjusted Model,11018,2022-11-17,-0.000098872,-0.077153464,-0.080612029,21,100
Market-Adjusted Model,11043,2022-11-17,-0.099971491,-0.183561885,-0.180484649,21,100
Market-Adjusted Model,11144,2022-11-17,0.0078260999,-0.069356169,-0.072687057,21,100
Market-Adjusted Model,11153,2022-11-17,-0.179129172,-0.267435259,-0.25964233,21,100
Market-Adjusted Model,11154,2022-11-17,0.1445193175,0.0603343862,0.0640061603,21,100
Market-Adjusted Model,11174,2022-11-17,0.1063482397,0.0360789361,0.0258350825,21,100
Market-Adjusted Model,11203,2022-11-17,0.1408003476,0.0549866165,0.0602871904,21,100
Market-Adjusted Model,11208,2022-11-17,0.0369967502,-0.041728403,-0.043516407,21,100
Market-Adjusted Model,11264,2022-11-17,0.3080111248,0.237421259,0.2274979676,21,100
Market-Adjusted Model,11267,2022-11-17,-0.130172429,-0.210457794,-0.210685586,21,100
Market-Adjusted Model,11275,2022-11-17,0.3369099157,0.2335160653,0.2563967585,21,100
Market-Adjusted Model,11285,2022-11-17,0.1025524158,0.0195509912,0.0220392587,21,100
Market-Adjusted Model,11292,2022-11-17,-0.130272726,-0.20293595,-0.210785883,21,100
Market-Adjusted Model,11293,2022-11-17,0.0175038677,-0.061118472,-0.063009289,21,100
Market-Adjusted Model,11308,2022-11-17,0.1017703757,0.0179095961,0.0212572185,21,100
Market-Adjusted Model,11368,2022-11-17,0.1433270296,0.0602612988,0.0628138724,21,100
Market-Adjusted Model,11369,2022-11-17,0.0139249502,-0.064999438,-0.066588207,21,100
Market-Adjusted Model,11370,2022-11-17,0.2625466536,0.1630882126,0.1820334965,21,100
Market-Adjusted Model,11379,2022-11-17,0.0382848419,-0.031945782,-0.042228315,21,100
Market-Adjusted Model,11394,2022-11-17,0.238541652,0.1931185874,0.1580284948,21,100
Market-Adjusted Model,11397,2022-11-17,0.0525534992,-0.026755869,-0.027959658,21,100
Market-Adjusted Model,11403,2022-11-17,0.1884347454,0.100684571,0.1079215882,21,100
Market-Adjusted Model,11404,2022-11-17,0.1133360607,0.0295779884,0.0328229035,21,100
Market-Adjusted Model,11407,2022-11-17,0.0491044945,-0.025289168,-0.031408663,21,100
Market-Adjusted Model,11442,2022-11-17,0.0323664167,-0.04724107,-0.048146741,21,100
Market-Adjusted Model,11481,2022-11-17,0.0516003721,0.0874870947,-0.028912785,21,100
Market-Adjusted Model,11499,2022-11-17,0.0463121747,-0.028285382,-0.034200982,21,100
Market-Adjusted Model,11511,2022-11-17,0.0064935029,-0.063677723,-0.074019654,21,100
Market-Adjusted Model,11533,2022-11-17,0.3884245997,0.2937919012,0.3079114425,21,100
Market-Adjusted Model,11547,2022-11-17,0.1979829855,0.1166747661,0.1174698284,21,100
Market-Adjusted Model,11565,2022-11-17,0.062584141,-0.015502928,-0.017929016,21,100
Market-Adjusted Model,11581,2022-11-17,-0.012966597,-0.090607579,-0.093479754,21,100
Market-Adjusted Model,11587,2022-11-17,0.0263248623,-0.042669612,-0.054188295,21,100
Market-Adjusted Model,11593,2022-11-17,0.0384615721,-0.030517583,-0.042051585,21,100
Market-Adjusted Model,11600,2022-11-17,0.1242015586,0.0459812906,0.0436884014,21,100
Market-Adjusted Model,11618,2022-11-17,0.0712352034,-0.008471983,-0.009277954,21,100
Market-Adjusted Model,11628,2022-11-17,0.0922635625,0.0122035333,0.0117504054,21,100
Market-Adjusted Model,11636,2022-11-17,-0.258064524,-0.35045904,-0.338577682,21,100
Market-Adjusted Model,11644,2022-11-17,-0.092991791,-0.158686429,-0.173504948,21,100
Market-Adjusted Model,11654,2022-11-17,-0.083529418,-0.157658693,-0.164042575,21,100
Market-Adjusted Model,11664,2022-11-17,0.0798927519,0.0109516361,-0.000620405,21,100
Market-Adjusted Model,11674,2022-11-17,0.0363898484,-0.042739354,-0.044123309,21,100
Market-Adjusted Model,11691,2022-11-17,-0.088669556,-0.160263686,-0.169182713,21,100
Market-Adjusted Model,11701,2022-11-17,0.1139604015,0.029802168,0.0334472444,21,100
Market-Adjusted Model,11731,2022-11-17,0.1235179894,0.0401004226,0.0430048322,21,100
Market-Adjusted Model,11748,2022-11-17,-0.036284958,-0.108802708,-0.116798115,21,100
Market-Adjusted Model,11752,2022-11-17,0.1529304762,0.0875037151,0.0724173191,21,100
Market-Adjusted Model,11762,2022-11-17,0.089943066,0.0076573153,0.0094299088,21,100
Market-Adjusted Model,11775,2022-11-17,0.1275696361,0.0457696789,0.0470564789,21,100
